address,city,state,postal_code,price,facts and features,real estate provider,url,title
,Ephrata,PA,17522,"$500,000","3 bds, 4.0 ba ,4788 sqft",Kingsway Realty,https://www.zillow.com/homedetails/328-Declaration-Ave-Ephrata-PA-17522/104392073_zpid/,House for sale
,Ephrata,PA,17522,"$404,900","4 bds, 3.0 ba ,2468 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/62-S-View-Dr-Ephrata-PA-17522/306952351_zpid/,House for sale
,Ephrata,PA,17522,"$98,850","None bds, None ba ,None sqft",Younger Realty Group,https://www.zillow.com/homedetails/332-Ridge-Ave-Ephrata-PA-17522/104389904_zpid/,Lot / Land for sale
,Ephrata,PA,17522,"$442,000","3 bds, 3.0 ba ,3701 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/54-Lake-St-29-Ephrata-PA-17522/2079152870_zpid/,New construction
,Ephrata,PA,17522,"$229,900","3 bds, 2.0 ba ,1533 sqft",RE/MAX Of Reading,https://www.zillow.com/homedetails/9-Wolf-Cir-Ephrata-PA-17522/9702504_zpid/,House for sale
,Ephrata,PA,17522,"$159,900","None bds, None ba ,None sqft",Kingsway Realty,https://www.zillow.com/homedetails/87-87-Ridge-Ave-C-Ephrata-PA-17522/2078632295_zpid/,Lot / Land for sale
,Ephrata,PA,17522,,"2 bds, 1.0 ba ,960 sqft",Auction.com,https://www.zillow.com/homedetails/217-E-Fulton-St-Ephrata-PA-17522/9709612_zpid/,Auction
,Ephrata,PA,17522,"$219,995","0 bds, None ba ,1538 sqft",Bennett Williams Inc.,https://www.zillow.com/homedetails/81-N-Church-St-Ephrata-PA-17522/9711207_zpid/,Apartment for sale
,Ephrata,PA,17522,"$5,650,000","0 bds, None ba ,None sqft",Iron Valley Real Estate of Lancaster,https://www.zillow.com/homedetails/0-Trout-Run-Rd-Ephrata-PA-17522/2090529691_zpid/,Lot / Land for sale
,Ephrata,PA,17522,,"3 bds, 1.0 ba ,2088 sqft",Auction.com,https://www.zillow.com/homedetails/38-W-Main-St-Ephrata-PA-17522/83187637_zpid/,Auction
,Ephrata,PA,17522,,"2 bds, None ba ,532 sqft",Auction.com,https://www.zillow.com/homedetails/233-Park-Ave-Ephrata-PA-17522/9710663_zpid/,Auction
,Ephrata,PA,17522,"$361,000+","3 bds, 3.0 ba ,2615 sqft",Landmark Homes,https://www.zillow.com/community/home-towne-square-55-living/2079851117_zpid/,New construction
,Ephrata,PA,17522,"$371,000","2 bds, 2.0 ba ,2052 sqft",Landmark Homes,https://www.zillow.com/homedetails/369-Home-Towne-Blvd-Ephrata-PA-17522/2081761729_zpid/,New construction
,Ephrata,PA,17522,"$313,200+","2 bds, 2.0 ba ,1654 sqft",Landmark Homes,https://www.zillow.com/community/home-towne-square-55-living/2079851123_zpid/,New construction
,Ephrata,PA,17522,"$341,000+","2 bds, 2.0 ba ,1941 sqft",Landmark Homes,https://www.zillow.com/community/home-towne-square-55-living/2079851120_zpid/,New construction
,Ephrata,PA,17522,"$425,000","4 bds, 3.0 ba ,2568 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/106-Lake-View-Rd-38-Ephrata-PA-17522/2085419622_zpid/,New construction
,Ephrata,PA,17522,"$374,000","4 bds, 3.0 ba ,2568 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/108-Lake-View-Rd-39-Ephrata-PA-17522/2085419548_zpid/,New construction
