input,output,score,id_hash
"Amazing curb appeal in Victorias Pond development! This 4 bedroom, 2.5 bath home has so many upgrades. As soon as you walk through the front door there is a grand stair case and open foyer. Beautiful hardwood flooring flows into the living room and formal dining room with crown molding and chair rail. The sunken family room is the show stopper in the home with gas fireplace, 2 story ceiling, windows and french doors from floor to ceiling that flood the room with natural light, and access to the decks. The kitchen and huge breakfast area also feature hardwood floors, doors to the covered deck, loads of cabinet space in the kitchen that includes a breakfast bar, large pantry, and built in desk. This space has an open railing and dramatic views into the family room. The first floor is rounded out with a laundry room and powder room. The second floor bedrooms are all spacious and feature ceiling fans in each room. The master suite is truly a getaway for the owners with over-sized walk in closet and bath with double sinks, corner whirlpool tub, and separate shower. Although you may already want to make this home yours, it has even more to offer! The finished lower level features an exercise room that would also make a great office space, a den that is the man cave you have always wanted and a separate sunken game room that is currently being used as a pool room (pool table is negotiable). Doors lead directly out back to the hot tub that is only a year old and the perfect place to unwind after a long day! If you are looking for a place to enjoy the outdoors with your family and friends, look no further than your backyard. Multiple decks, including a covered deck off the the kitchen offer space to grill and get together. The half acre lot is bordered by a small creek and has room to run and play. With a convenient location, tons of storage, and so much to offer, this may just be the home you have always dreamed about!",Pool Table,0.468944787979126,c1604aef-5b2a-4cf3-b3e0-bf5b78c080b3
"This inviting home has been tastefully remodeled with a new kitchen featuring oak cabinets, pull-out shelves, granite counter tops and a breakfast bar. The new bath features a whirlpool tub, vanity and fixtures. The basement with a half bath can be garage, workshop or finish into family room. Outside you wont want to miss the large fenced in yard, 27ft round above ground pool and brand new 20x12 shed w/ more..",Whirlpool,0.835129976272583,d98c158a-3e31-42ea-bffc-3469fb3b2765
"TASTEFULLY RENOVATED HOME FINISHED WITH MUCH CARE AND NO CORNERS CUT, ON A SIZABLE LOT WITH A LARGE FENCED-IN YARD AND PLENTY OF PARKING. CHARMING INTERIOR WITH REFINISHED ORIGINAL WOOD FLOORS, ROUNDED CORNERS ON WALLS, NEW SHERWIN WILLIAMS PAINT AND TRIM WITH 5 BASEBOARDS, AND NEW SHAW CARPET UPSTAIRS . GORGEOUS WOLF MAPLE KITCHEN WITH 36 UPPER CABINETS AND POTS & PAN DRAWERS, REFRIGERATOR NOOK WITH CABINET AND MATCHING SIDE PANEL, NEW COUNTERTOP, STAINLESS STEEL SINK WITH MOEN PULL-OUT FAUCET, AND NEW STAINLESS STEEL GE APPLIANCES INCLUDING A 5 BURNER GAS RANGE WITH GRIDDLE, A MICROWAVE HOOD, AND A DISHWASHER. THE KITCHEN ALSO HAS A PANTRY CLOSET WITH A FIRE EXTINGUISHER, AND A KITCHEN DOOR TO THE REAR YARD AREA. THERE IS A COZY DINING ROOM AREA OFF THE KITCHEN, A LARGE LIVING ROOM, AND A NEW POWDER ROOM WITH NEW FIXTURES AND CONGOLEUM FLOORING. THE LARGE 2ND FLOOR FRONT BEDROOM HAS BOTH TRADITIONAL AND ORIGINAL HOOK CLOSETS. THE 2ND FLOOR REAR BEDROOM HAS A WALK-IN CLOSET AND ACCESS TO A BALCONY. THE FULL BATHROOM ON 2ND FLOOR HAS NEW KOHLER TOILET & STERLING TUB, A VANITY WITH CARRARA MARBLE TOP AND NEW CONGOLEUM FLOORING. THE HUGE 3RD FLOOR BEDROOM WAS PREVIOUSLY REMODELED (PRIOR OWNER) WITH DECORATIVE STONE PILLARS, A BEAM WITH TRACK LIGHTING, A LARGE STONE FIREPLACE WITH ELECTRIC LOG SET & NOOK FOR TV, TWO CEILING FANS, AND A CLOSET. THE HOME ALSO HAS ECONOMICAL GAS FORCED-AIR HEAT & GAS HOT WATER HEATER, REPLACEMENT WINDOWS, COMPLETELY NEW PLUMBING, UPDATED WIRING INCLUDING DIRECT-WIRED SMOKE/CO DETECTORS AND EXTRA OUTLETS. THE HUGE DRIVEWAY HAS EXTRA OFF STREET PARKING FOR RV\S OR CAMPERS, AND HAS A 12\X24\ SHED (GREAT FOR WORKSHOP, MOTORCYCLES, TOOLS, ETC.) A LARGE GARAGE COULD BE BUILT TO THE SIDE OF THE HOME OR IN THE REAR AT THE ALLEY. THE LARGE LEVEL YARD IS ENCLOSED BY A 6 FOOT PRIVACY FENCE WITH PLENTY OF ROOM FOR A POOL, SWING SET, PLAYHOUSE, AND INCLUDES AN 8\X10\ SHED FOR YARD MAINTENANCE ITEMS. THERE IS ALSO A STAMPED CONCRETE PATIO IN THE YARD WITH A STONE BASE FOR PAVERS, AND CONDUITS TO RUN OUTLETS FOR AN OUTDOOR KITCHEN AREA. IT\S A GREAT NEIGHBORHOOD AND HAS AN RRTA BUS STOP AT THE NEXT CORNER (MANOR STREET) FOR PUBLIC TRANSPORTATION TO LANCASTER AND YORK. 5 MINUTES TO COLUMBIA RIVER PARK, RAIL TRAIL AND ROUTE 30, AND 15 MINUTES TO LANCASTER OR YORK. ***ALL WORK IN THIS HOME WAS PERFORMED BY LICENSED CONTRACTORS. THE CURRENT TAX ASSESSMENT IS BASED ON A 2 BEDROOM 1 BATH HOME AND IS LIKELY TO BE INCREASED WITH IT NOW BEING A 3 BEDROOM 1&1/2 BATH HOME INCLUDING ALL THE RECENT IMPROVEMENTS.*** THIS IS A REALLY NICE HOME!",Community Pool,0.6244958639144897,363dc7f3-21ae-4565-a7b7-0877a13253c2
"This custom designed hilltop home was built on-site in 2005, the custom hardwood floors are made from Ash which was milled on site. The property offers majestic views of the Susquehanna River. These views can be enjoyed and admired from just about every room in the house, including the wrap around deck and the screened-in portion of the deck. This property hosts 4 bedrooms, 3 full and 2 half baths, and stands on over 3 acres. Throughout the home you will find an open floor plan, open archways, and Ash flooring. An inviting great room shines with vaulted ceiling, stone gas fireplace and cherry mantel, and views of the river though large windows. A convenient 1st floor master suite provides river views and has access to the deck. The master bathroom is amazing with double vanity, a ceramic tile jetted tub, and ceramic tile walk-in shower, as well as a walk-in closet with built-in shelves and cabinets. The kitchen is spectacular with cherry cabinets, center island with breakfast nook, and built-in Whirlpool Gold stainless steel appliances. Also on the main level is a study, laundry room, and mudroom area off the attached 3-car garage. The upper level hosts 3 bedrooms, a full bath, and a laundry chute. The lower level is an incredible area of the house that boasts a family room, a full kitchen with breakfast bar, and a large room that could double as a bedroom or be used as a playroom with access to the garage. The rest of the lower level contains, a full bath, a bonus room and lots of storage space. You are getting more than just a home at this spectacular property.",Whirlpool,0.6250753998756409,fb18ae8d-c4e0-47ab-987c-ef1565a87740
"Are you looking for a great place to live with an in-home business and acreage? This property is perfect for an in-home business with a great home and pool, lots of office space, parking, and a large garage. The home features a bright family room with vaulted ceiling, a kitchen, dining room, additional living room, and three bedrooms and a bathroom. Plus downstairs is an ultimate man cave with steel doors for security and a wood-burning fireplace. The office area provides plenty of space with 6 office rooms plus waiting room and reception area, and bathroom. In addition to the parking spaces, there is a 3-car garage for parking, storage, or finishing. Behind the home sits a lovely pool area with cabana, pool house, and restroom. The large 2-acre lot to the rear of the property faces preserved farmland and offers a pastoral view - possibly for building your dream home or pasturing animals! So many possibilities to live, work, and play! Check out the video tour!",Private Pool,0.5048887133598328,e5f465d1-f606-46b4-9a5e-35b3955a41e5
"One of kind custom contemporary home with attention to detail throughout. Situated on a picturesque lot overlooking farmland, youll enjoy the best of both worlds: a country setting, but just minutes to Lancaster City. Spacious master suite with two walk-in closets, balcony and large master bath with whirlpool tub. Convenient laundry adjacent to master suite. The well appointed kitchen includes attractive granite counters with a tile backsplash, updated appliances with an induction cooktop. Youll love the low maintenance exterior with composite decking and vinyl railings. Comfortable lower level family room with gas fireplace and small bar with wine fridge. Enjoy this peaceful setting from the screened porch or nicely landscaped patio, complete with outdoor kitchen area with sink. 3 car garage and large storage shed. Economical geothermal HVAC system. Available for one lucky new owner! Includes 1-year HMS Home Warranty for buyer.",Whirlpool,0.37094390392303467,ca466125-2553-4119-b4d2-9f26b3907be7
"One of kind custom contemporary home with attention to detail throughout. Situated on a picturesque lot overlooking farmland, youll enjoy the best of both worlds: a country setting, but just minutes to Lancaster City. Spacious master suite with two walk-in closets, balcony and large master bath with whirlpool tub. Convenient laundry adjacent to master suite. The well appointed kitchen includes attractive granite counters with a tile backsplash, updated appliances with an induction cooktop. Youll love the low maintenance exterior with composite decking and vinyl railings. Comfortable lower level family room with gas fireplace and small bar with wine fridge. Enjoy this peaceful setting from the screened porch or nicely landscaped patio, complete with outdoor kitchen area with sink. 3 car garage and large storage shed. Economical geothermal HVAC system. Available for one lucky new owner! Includes 1-year HMS Home Warranty for buyer.",Whirlpool,0.37094390392303467,97648b43-1edd-4751-9098-2258024140eb
Clyde Stumpf Built Estate. Fantastic secluded estate style property on 15 (or more) acres in Beautiful Conestoga! Solar powered 3 zone geothermal electric with 16 $ month bills from April thru Nov. and 100-300 monthly from December thru March!!! Boasting over 7000 sq ft of magnificent living area! 2 Fully equipped kitchens! Coffered ceilings in the dining room. Definite In law possible! Glick Audio installed Theater room with loads of built ins! Mirrored gym! Screened porches with gas fireplace! 3 different 200 amp services! All of this overlooking a sparkling heated Fox in ground pool with covered patio area isolated in total seclusion! Now throw in a detached 3 car garage with heat and air and a half bath to round off some of the amenities of this lovely home! Taxes are estimated at about $12700 per year.,Private Pool,0.7987576127052307,51f9fb5a-0bf2-4ce2-b96d-3f0ad999bf31
This Semi detached home features an open concept on the main level. Very large kitchen with an Island and a combined dining area with a nice size living room. The home also has a new furnace and hot water heater. The attic is partially finished and could be used for extra 500 sq. ft. of living space for your needs. Walking distance to the pool and Grater Park.,Whirlpool,0.08097361028194427,01ba79e1-1ca5-46e8-89ce-158a7feb1e23
"Custom home built by Garman Builders, premier location at the end of cul-de-sac. Open living & kitchen floor plan. Granite counter-tops and stainless steel appliances. Two story ceiling in foyer with view of loft. Crown molding and recessed lighting throughout the home. 9-ft. ceilings throughout main level. Stone, gas -fireplace in living area. Walk-in closets in all four bedrooms. Tray ceiling in master bedroom. Master bath with Whirlpool tub and shower. Water treatment system installed two years ago. Superior wall basement. Concrete patio, backed by shade trees.",Whirlpool,0.12622900307178497,5fb92e2a-8cbc-402e-8e6e-d122bfb8269a
