,label,confidence,link
0,contemporary,0.9903542995452881,https://photos.zillowstatic.com/p_h/ISjjyubu1fkg621000000000.jpg
1,ranch,0.9999943971633911,https://photos.zillowstatic.com/p_h/ISrxiui0nczn7t0000000000.jpg
2,cape_cod,0.989575982093811,https://photos.zillowstatic.com/p_h/ISrllgsc62sfgb1000000000.jpg
3,craftsman,0.9468405842781067,https://photos.zillowstatic.com/p_h/ISblu6t8k48u6u1000000000.jpg
4,contemporary,0.9823821187019348,https://photos.zillowstatic.com/p_h/IS3zfa6is29na81000000000.jpg
5,ranch,0.9999960660934448,https://photos.zillowstatic.com/p_h/ISnmrm0aaz48zg0000000000.jpg
6,italianate,0.43968626856803894,https://photos.zillowstatic.com/p_h/IS3fsyl5duwolm1000000000.jpg
7,ranch,0.49750205874443054,https://photos.zillowstatic.com/p_h/IS3f05gzrbi0051000000000.jpg
8,prairie,0.45921605825424194,https://photos.zillowstatic.com/p_h/ISjzmg1tfije820000000000.jpg
9,craftsman,0.9999971389770508,https://photos.zillowstatic.com/p_h/IS7mgph77vs2wr1000000000.jpg
10,ranch,0.9998798370361328,https://photos.zillowstatic.com/p_h/IS7az34xcpipr21000000000.jpg
11,cape_cod,0.9995884299278259,https://photos.zillowstatic.com/p_h/IS3r9kn6wbhzqo1000000000.jpg
12,prairie,0.45436128973960876,https://photos.zillowstatic.com/p_h/IS37ey96w265hr1000000000.jpg
13,tudor,0.73360276222229,https://photos.zillowstatic.com/p_h/ISjfv1sntega5w0000000000.jpg
14,ranch,0.9926315546035767,https://photos.zillowstatic.com/p_h/ISf4otqtj5q1xv0000000000.jpg
15,colonial,0.9999432563781738,https://photos.zillowstatic.com/p_h/ISnepb41ocao8e1000000000.jpg
16,ranch,0.8985859155654907,https://photos.zillowstatic.com/p_h/ISv8i87q6gjun41000000000.jpg
17,cape_cod,0.7928591370582581,https://photos.zillowstatic.com/p_h/IS7m8vgox7n7x60000000000.jpg
18,farmhouse,0.6171066761016846,https://photos.zillowstatic.com/p_h/IS33b17mp4o4411000000000.jpg
19,craftsman,0.9998145699501038,https://photos.zillowstatic.com/p_h/ISb1nrgk7wcyji1000000000.jpg
20,victorian,0.9634299874305725,https://photos.zillowstatic.com/p_h/ISfkogly28gqrn0000000000.jpg
